Date,azo,bac,dpz,googl,msft,tgt
2021-03-17,1290.93994140625,37.418148040771484,361.196533203125,2082.219970703125,235.6109619140625,176.61080932617188
2021-03-18,1303.5799560546875,38.39427185058594,361.7633361816406,2021.3399658203125,229.32908630371094,177.8086700439453
2021-03-19,1324.760009765625,37.99001693725586,361.6440124511719,2026.9599609375,228.96131896972656,185.66905212402344
2021-03-22,1341.219970703125,37.13220977783203,367.23223876953125,2030.68994140625,234.56732177734375,186.1541290283203
2021-03-23,1323.5699462890625,36.38286209106445,372.3034362792969,2041.3299560546875,236.14772033691406,187.0253143310547
2021-03-24,1353.489990234375,36.38286209106445,364.1497497558594,2032.530029296875,234.04051208496094,186.39173889160156
2021-03-25,1374.4100341796875,37.13220977783203,365.5219421386719,2032.4599609375,230.93931579589844,190.7674102783203
2021-03-26,1413.72998046875,38.137916564941406,369.7379455566406,2024.72998046875,235.05433654785156,198.93466186523438
2021-03-29,1432.280029296875,37.77310562133789,369.97662353515625,2045.7900390625,233.82183837890625,196.22215270996094
2021-03-30,1425.3599853515625,38.443572998046875,366.0489196777344,2046.469970703125,230.4522705078125,197.64768981933594
2021-03-31,1404.300048828125,38.14777374267578,365.7109069824219,2062.52001953125,234.3486328125,196.08355712890625
2021-04-01,1418.8399658203125,38.93656921386719,371.2692565917969,2129.780029296875,240.88897705078125,198.70697021484375
2021-04-05,1415.8800048828125,39.242218017578125,369.53912353515625,2218.9599609375,247.56846618652344,203.29052734375
2021-04-06,1431.8499755859375,39.133758544921875,378.52801513671875,2209.260009765625,246.36575317382812,203.36973571777344
2021-04-07,1423.27001953125,39.488712310791016,380.1388244628906,2239.030029296875,248.39344787597656,202.39955139160156
2021-04-08,1417.1500244140625,39.14362335205078,381.74969482421875,2250.429931640625,251.72325134277344,201.4195098876953
2021-04-09,1438.5,39.42955780029297,388.143310546875,2270.669921875,254.30758666992188,203.30043029785156
2021-04-12,1454.18994140625,39.49857711791992,388.41180419921875,2244.6201171875,254.3672332763672,203.04306030273438
2021-04-13,1435.9100341796875,38.76894760131836,392.6974182128906,2254.429931640625,256.931640625,202.8846435546875
2021-04-14,1450.8900146484375,39.32109832763672,388.4317321777344,2241.909912109375,254.0491485595703,203.6469268798828
2021-04-15,1467.43994140625,38.197078704833984,390.7684020996094,2285.25,257.9355773925781,203.6964111328125
2021-04-16,1495.8399658203125,38.6013298034668,392.5979919433594,2282.75,259.1680908203125,206.45843505859375
2021-04-19,1504.300048828125,38.62104797363281,395.7102966308594,2289.760009765625,257.18017578125,206.5574188232422
2021-04-20,1514.1099853515625,37.54632568359375,395.7998046875,2279.010009765625,256.7030944824219,205.19126892089844
2021-04-21,1486.8900146484375,38.1773567199707,392.56817626953125,2278.35009765625,259.0090637207031,204.69630432128906
2021-04-22,1478.8699951171875,37.82240295410156,396.50579833984375,2252.52001953125,255.61964416503906,203.50833129882812
2021-04-23,1471.3499755859375,38.63091278076172,395.4617004394531,2299.929931640625,259.57562255859375,203.94390869140625
2021-04-26,1443.8800048828125,38.85768508911133,397.94757080078125,2309.929931640625,259.97320556640625,201.58778381347656
2021-04-27,1455.7900390625,39.32109832763672,398.7629699707031,2290.97998046875,260.3907165527344,202.3104705810547
2021-04-28,1460.0,39.468994140625,401.66650390625,2359.0400390625,253.02536010742188,202.40945434570312
2021-04-29,1474.9599609375,40.53386306762695,413.6284484863281,2392.760009765625,250.9877166748047,205.30018615722656
2021-04-30,1464.1199951171875,39.96199035644531,419.9525146484375,2353.5,250.65969848632812,205.18138122558594
2021-05-03,1475.8299560546875,39.991573333740234,431.1388854980469,2343.080078125,250.3416290283203,209.1610565185547
2021-05-04,1477.0,40.4254035949707,431.53662109375,2306.830078125,246.29617309570312,209.4877471923828
2021-05-05,1472.1099853515625,40.809932708740234,429.4485168457031,2314.77001953125,244.98414611816406,210.27972412109375
